date,calories,true_weight,weight
2026-01-01,2476.0,75.0,75.2
2026-01-02,2140.0,75.01,74.98
2026-01-03,2588.0,74.976,74.85
2026-01-04,2635.0,75.0,74.98
2026-01-05,1912.0,75.031,74.52
2026-01-06,2074.0,74.968,74.53
2026-01-07,2432.0,74.925,74.53
2026-01-08,2321.0,74.93,74.63
2026-01-09,2396.0,74.919,75.04
2026-01-10,2187.0,74.919,74.65
2026-01-11,2620.0,74.891,74.78
2026-01-12,2594.0,74.92,75.31
2026-01-13,2417.0,74.945,74.84
2026-01-14,2682.0,74.947,75.17
2026-01-15,2517.0,74.984,74.7
2026-01-16,2185.0,74.999,74.94
2026-01-17,2492.0,74.971,74.69
2026-01-18,2160.0,74.983,74.88
2026-01-19,2620.0,74.952,75.2
2026-01-20,2388.0,74.98,74.46
2026-01-21,2354.0,74.979,75.11
2026-01-22,2230.0,74.973,75.04
2026-01-23,2706.0,74.951,74.77
2026-01-24,2361.0,74.99,74.56
2026-01-25,2293.0,74.985,75.01
2026-01-26,2312.0,74.971,74.81
2026-01-27,2533.0,74.96,75.03
2026-01-28,2491.0,74.977,74.98
2026-01-29,2503.0,74.989,75.47
2026-01-30,2508.0,75.002,74.93
2026-01-31,2935.0,75.016,74.71
2026-02-01,2298.0,75.086,75.14
2026-02-02,2272.0,75.073,75.14
2026-02-03,2197.0,75.056,75.46
2026-02-04,2554.0,75.03,75.28
2026-02-05,2682.0,75.05,75.16
2026-02-06,2372.0,75.086,75.53
2026-02-07,2190.0,75.083,74.73
2026-02-08,2194.0,75.055,74.86
2026-02-09,2563.0,75.029,74.75
2026-02-10,2586.0,75.05,74.93
2026-02-11,2536.0,75.074,74.66
2026-02-12,2234.0,75.091,75.28
2026-02-13,2458.0,75.07,75.0
2026-02-14,2429.0,75.077,74.64
2026-02-15,2455.0,75.081,74.78
2026-02-16,2618.0,75.088,75.18
2026-02-17,2456.0,75.117,75.37
2026-02-18,2570.0,75.124,75.72
2026-02-19,2417.0,75.146,76.02
2026-02-20,2472.0,75.148,75.27
2026-02-21,2558.0,75.157,74.86
2026-02-22,2036.0,75.178,74.54
2026-02-23,2320.0,75.131,75.21
2026-02-24,2282.0,75.12,74.88
2026-02-25,2240.0,75.105,74.98
2026-02-26,2331.0,75.084,74.9
2026-02-27,2774.0,75.075,75.03
2026-02-28,2184.0,75.124,75.44
2026-03-01,2642.0,75.096,75.14
2026-03-02,1979.0,75.127,75.08
2026-03-03,2316.0,75.073,74.76
2026-03-04,2441.0,75.062,74.56
2026-03-05,2547.0,75.067,74.92
2026-03-06,2578.0,75.086,75.07
2026-03-07,2598.0,75.109,75.64
2026-03-08,2313.0,75.135,75.17
2026-03-09,2284.0,75.124,75.42
2026-03-10,2614.0,75.109,74.96
2026-03-11,2352.0,75.136,74.78
2026-03-12,2081.0,75.13,74.84
2026-03-13,2117.0,75.089,74.87
2026-03-14,2170.0,75.052,75.69
2026-03-15,2524.0,75.022,74.78
2026-03-16,2436.0,75.038,75.29
2026-03-17,2573.0,75.043,74.77
2026-03-18,2293.0,75.065,75.34
2026-03-19,2440.0,75.051,75.17
2026-03-20,2556.0,75.057,75.01
2026-03-21,2323.0,75.077,75.06
2026-03-22,2514.0,75.067,74.87
2026-03-23,2235.0,75.082,75.22
2026-03-24,2309.0,75.06,74.92
2026-03-25,2305.0,75.048,74.68
2026-03-26,2101.0,75.036,74.65
2026-03-27,2522.0,74.997,75.05
2026-03-28,2283.0,75.013,75.49
2026-03-29,2403.0,74.998,75.05
2026-03-30,2520.0,74.998,74.96
2026-03-31,2512.0,75.014,75.1
